timestamp,vehicle_id,vehicle_type,engine_type,engine_cc,gear,speed_kmph,rpm,engine_temp_c,oil_pressure_psi,vibration
2024-01-01T08:19:29,VH_01,Car,Petrol,1500.0,3,57.7,2366.0,96.0,51.5,2.63
2024-01-01T08:22:31,VH_01,Car,Petrol,1500.0,1,22.45,1962.9,75.7,48.4,1.69
2024-01-01T10:35:12,VH_01,Car,Petrol,1500.0,4,77.79,2331.3,84.0,54.4,4.61
2024-01-01T10:46:55,VH_01,Car,Petrol,1500.0,3,60.2,2493.1,83.0,46.5,4.09
2024-01-01T11:17:35,VH_01,Car,Petrol,1500.0,5,85.65,2148.4,66.5,55.9,3.96
2024-01-01T11:18:52,VH_01,Car,Petrol,1500.0,2,42.8,2128.3,92.4,51.1,2.62
2024-01-02T08:01:57,VH_01,Car,Petrol,1500.0,1,14.88,1387.5,79.9,46.6,2.05
2024-01-02T08:06:21,VH_01,Car,Petrol,1500.0,4,77.18,2460.8,85.3,49.5,4.27
2024-01-02T08:29:57,VH_01,Car,Petrol,1500.0,3,58.97,2437.6,86.5,45.9,4.09
2024-01-02T08:32:46,VH_01,Car,Petrol,1500.0,1,17.57,1519.4,88.0,40.9,3.55
2024-01-02T08:37:27,VH_01,Car,Petrol,1500.0,2,35.63,1899.7,89.3,48.1,3.06
2024-01-02T08:39:20,VH_01,Car,Petrol,1500.0,1,27.5,1320.3,87.5,38.4,3.42
2024-01-02T08:42:08,VH_01,Car,Petrol,1500.0,5,84.4,1812.9,107.0,51.0,4.74
2024-01-02T09:02:16,VH_01,Car,Petrol,1500.0,1,29.68,1341.9,87.4,54.4,3.17
2024-01-02T10:32:20,VH_01,Car,Petrol,1500.0,3,66.59,2463.5,100.6,54.4,2.78
2024-01-02T10:41:58,VH_01,Car,Petrol,1500.0,5,94.73,2798.3,95.7,43.2,3.46
2024-01-02T11:04:09,VH_01,Car,Petrol,1500.0,5,84.41,2090.4,82.7,51.0,3.77
2024-01-02T11:12:35,VH_01,Car,Petrol,1500.0,5,92.9,1505.2,99.7,40.3,3.99
2024-01-02T11:14:16,VH_01,Car,Petrol,1500.0,3,55.74,2049.1,91.8,53.3,4.26
2024-01-03T08:34:59,VH_01,Car,Petrol,1500.0,4,67.49,1969.8,93.9,54.0,3.59
2024-01-03T08:40:32,VH_01,Car,Petrol,1500.0,2,35.76,1601.4,84.4,48.0,3.03
2024-01-03T09:01:25,VH_01,Car,Petrol,1500.0,3,67.8,3063.0,84.6,41.3,2.25
2024-01-03T09:13:19,VH_01,Car,Petrol,1500.0,4,66.85,2148.5,92.1,54.8,3.57
2024-01-03T09:27:31,VH_01,Car,Petrol,1500.0,4,79.45,2702.5,87.9,53.8,3.99
2024-01-03T10:05:28,VH_01,Car,Petrol,1500.0,5,91.76,2124.1,104.3,23.1,4.25
2024-01-03T10:06:01,VH_01,Car,Petrol,1500.0,2,41.54,2139.6,88.5,51.2,2.45
